,site_name,location_id,site_capacity,point_p,point_i,lat,long,tile_id,alt,row,col,TL_linear,TL_huber,converging_type
0,ISL001,1,875,1279,1280,14.00523,100.519403,1.32E+13,6,832,863,2.13,2.22,loop with 2 values
1,ISL002,9,175,1281,1282,13.7065,100.2812,1.32E+13,9,849,850,1.62,1.65,loop with 2 values
2,ISL003,11,875,1283,1284,13.6538,100.5223,1.32E+13,5,852,864,1.87,1.78,loop with 2 values
3,ISL004,12,375,1285,1286,13.635425,100.632181,1.32E+13,10,853,870,2.19,2.43,converge to 1 value
4,ISL005,13,875,1287,1288,13.6928,100.8972,1.32E+13,3,849,884,2.19,2.3,converge to 1 value
5,ISL006,14,325,1289,1290,13.80863,100.439,1.32E+13,7,843,859,2.43,2.28,loop with 2 values
6,ISL007,15,525,1291,1292,15.6353,100.4763,1.32E+13,35,738,861,1.75,1.81,loop with 2 values
7,ISL008,16,875,1293,1294,14.3066,100.6116,1.32E+13,5,815,869,1.95,1.68,loop with 2 values
8,ISL009,17,700,1295,1296,18.1284,100.144,1.32E+13,158,594,843,1.68,1.83,converge to 1 value
9,ISL010,18,324,1297,1298,13.8080602,100.447297,1.32E+13,3,843,859,2.53,2.57,converge to 1 value
10,ISL011,19,875,1299,1300,13.6538,100.5223,1.32E+13,5,852,864,3.65,3.19,converge to 1 value
11,ISL012,20,875,1301,1302,15.8226,104.122,1.32E+13,135,728,1064,2.62,2.64,iterations break
12,ISL013,21,375,1303,1304,14.4933,105.0176,1.32E+13,179,804,1114,1.91,1.51,iterations break
13,ISL014,22,500,1305,1306,9.038184,99.175888,1.32E+13,9,1112,789,1.38,1.24,iterations break
14,ISL015,23,900,1307,1308,18.2755,99.4812,1.32E+13,242,586,806,1.48,1.17,iterations break
15,ISL016,24,900,1309,1310,13.5506,99.8231,1.32E+13,12,858,825,1.81,2.28,iterations break
16,ISL017,25,684,1311,1312,14.9698,103.0818,1.32E+13,170,777,1006,1.58,1.63,loop with 3 values
17,ISL018,26,648,1313,1314,16.766,103.6491,1.32E+13,165,673,1038,1.85,1.75,iterations break
18,ISL019,27,900,1315,1316,17.011,99.7776,1.32E+13,53,659,822,1.57,1.7,loop with 2 values
19,ISL020,28,756,1317,1318,18.591,99.0412,1.32E+13,292,567,781,0.65,0.56,loop with 2 values
20,ISL021,534,576,1323,1324,17.4028,103.1561,1.32E+13,199,636,1010,1.45,1.27,loop with 2 values
21,ISL022,535,500,1329,1330,16.04807,102.7134,1.32E+13,171,715,986,1.7,0.99,converge to 1 value
22,ISL023,536,720,1335,1336,13.31573,100.9603,1.32E+13,9,871,888,2.45,3.04,loop with 2 values
23,ISL024,537,850,1341,1342,12.59817,102.0993,1.32E+13,9,912,951,1.37,1.45,converge to 1 value
24,ISL025,538,900,1347,1348,15.7785,102.0255,1.32E+13,183,730,947,1.74,1.67,loop with 3 values
25,ISL026,539,504,1353,1354,15.19266,101.7622,1.32E+13,211,764,933,0.67,0.59,iterations break
26,ISL027,540,900,1359,1360,18.74496,98.96208,1.32E+13,311,558,777,0.45,0.3,converge to 1 value
27,ISL028,541,540,1365,1366,18.66776,98.91456,1.32E+13,304,563,774,0.87,0.76,converge to negative value
28,ISL029,542,850,1371,1372,8.10837,98.92927,1.32E+13,15,1164,775,2.69,3.29,converge to 1 value
29,ISL030,543,792,1377,1378,14.9486,102.0542,1.32E+13,202,778,949,1.27,1.59,loop with 2 values
30,ISL031,544,468,1383,1384,17.85612,103.7647,1.32E+13,157,610,1044,2.23,1.79,loop with 2 values
31,ISL032,545,840,1389,1390,14.7946,100.672,1.32E+13,25,787,872,4.77,4.77,data invalid
32,ISL033,546,900,1395,1396,13.9346,100.7142,1.32E+13,2,836,874,1.74,1.43,iterations break
33,ISL034,547,660,1401,1402,8.457387,99.96393,1.32E+13,6,1145,832,1.29,0.99,loop with 2 values
34,ISL035,548,900,1407,1408,13.8126,100.072,1.32E+13,14,843,839,2.51,2.61,converge to 1 value
35,ISL036,549,900,1413,1414,14.1226,100.6169,1.32E+13,6,825,869,2.45,2.87,converge to 1 value
36,ISL037,550,792,1419,1420,13.079,99.9482,1.32E+13,17,884,832,1.788218951.9380952697036105,1.94,converge to 1 value
37,ISL038,551,850,1425,1426,16.39276,101.1323,1.32E+13,120,695,898,2.13,2.26,converge to 1 value
38,ISL039,552,468,1431,1432,17.39303,103.7023,1.32E+13,166,637,1041,2.06,0.46,iterations break
39,ISL040,553,900,1437,1438,12.9156,100.894,1.32E+13,20,894,884,1.97,2.21,converge to 1 value
40,ISL041,554,540,1443,1444,15.5971,103.8083,1.32E+13,134,741,1046,2.6,3.16,converge to 1 value
41,ISL042,555,828,1449,1450,14.0258,100.7433,1.32E+13,8,831,876,2.09,2.99,converge to 1 value
42,ISL043,556,504,1455,1456,15.65115,101.0871,1.32E+13,69,738,895,2.11,2.06,loop with 2 values
43,ISL044,557,396,1461,1462,13.51,102.1777,1.32E+13,107,860,956,2.34,3.26,converge to 1 value
44,ISL045,558,400,1467,1468,13.12712,100.9054,1.32E+13,13,882,885,4.77,4.77,data not available
45,ISL046,559,400,1473,1474,13.60859,100.7735,1.32E+13,0,854,878,2.01,2.24,converge to 1 value
46,ISL047,560,360,1479,1480,13.73641,100.5226,1.32E+13,8,847,864,2.51,2.6,converge to 1 value
47,ISL048,561,252,1485,1486,13.73641,100.5226,1.32E+13,8,847,864,2.6,2.41,converge to 1 value
48,ISL049,562,360,1491,1492,13.09784,100.963,1.32E+13,31,883,888,1.85,1.81,loop with 2 values
49,ISL050,563,216,1497,1498,13.09409,100.9639,1.32E+13,26,884,888,1.95,2.48,loop with 3 values
50,ISL051,564,504,1503,1504,13.10105,100.9577,1.32E+13,26,883,888,2.1,2.59,converge to 1 value
51,ISL052,565,360,1509,1510,13.09609,100.9685,1.32E+13,32,883,888,2.82,2.74,iterations break
52,ISL053,566,864,1515,1516,13.08754,100.9545,1.32E+13,17,884,888,2.76,2.98,converge to 1 value
53,ISL054,567,190,1521,1522,13.09284,100.9597,1.32E+13,27,884,888,4.77,4.77,data invalid
54,ISL055,568,828,1527,1528,13.09915,100.9643,1.32E+13,28,883,888,1.65,2.15,loop with 3 values
55,ISL056,569,825,1533,1534,13.5013,100.1354,1.32E+13,6,860,842,1.77,1.38,iterations break