,site_name,lat,long,alt,TL
0,site001,14.00523,100.519403,6,2.22
1,site002,13.7065,100.2812,9,1.65
2,site003,13.6538,100.5223,5,1.78
3,site004,13.635425,100.632181,10,2.43
4,site005,13.6928,100.8972,3,2.3
5,site006,13.80863,100.439,7,2.28
6,site007,15.6353,100.4763,35,1.81
7,site008,14.3066,100.6116,5,1.68
8,site009,18.1284,100.144,158,1.83
9,site010,13.8080602,100.447297,3,2.57
10,site011,13.6538,100.5223,5,3.19
11,site012,15.8226,104.122,135,2.64
12,site013,14.4933,105.0176,179,1.51
13,site014,9.038184,99.175888,9,1.24
14,site015,18.2755,99.4812,242,1.17
15,site016,13.5506,99.8231,12,2.28
16,site017,14.9698,103.0818,170,1.63
17,site018,16.766,103.6491,165,1.75
18,site019,17.011,99.7776,53,1.7
19,site020,18.591,99.0412,292,0.56
20,site021,17.4028,103.1561,199,1.27
21,site022,16.04807,102.7134,171,0.99
22,site023,13.31573,100.9603,9,3.04
23,site024,12.59817,102.0993,9,1.45
24,site025,15.7785,102.0255,183,1.67
25,site026,15.19266,101.7622,211,0.59
26,site027,18.74496,98.96208,311,0.3
27,site028,18.66776,98.91456,304,0.76
28,site029,8.10837,98.92927,15,3.29
29,site030,14.9486,102.0542,202,1.59
30,site031,17.85612,103.7647,157,1.79
31,site032,14.7946,100.672,25,4.77
32,site033,13.9346,100.7142,2,1.43
33,site034,8.457387,99.96393,6,0.99
34,site035,13.8126,100.072,14,2.61
35,site036,14.1226,100.6169,6,2.87
36,site037,13.079,99.9482,17,1.94
37,site038,16.39276,101.1323,120,2.26
38,site039,17.39303,103.7023,166,0.46
39,site040,12.9156,100.894,20,2.21
40,site041,15.5971,103.8083,134,3.16
41,site042,14.0258,100.7433,8,2.99
42,site043,15.65115,101.0871,69,2.06
43,site044,13.51,102.1777,107,3.26
44,site045,13.12712,100.9054,13,4.77
45,site046,13.60859,100.7735,0,2.24
46,site047,13.73641,100.5226,8,2.6
47,site048,13.73641,100.5226,8,2.41
48,site049,13.09784,100.963,31,1.81
49,site050,13.09409,100.9639,26,2.48
50,site051,13.10105,100.9577,26,2.59
51,site052,13.09609,100.9685,32,2.74
52,site053,13.08754,100.9545,17,2.98
53,site054,13.09284,100.9597,27,4.77
54,site055,13.09915,100.9643,28,2.15
55,site056,13.5013,100.1354,6,1.38